wake up,2024-03-19 05:13:13sleep,2024-03-19 05:43:16
sleep,2024-03-19 05:43:17
wake up,2024-03-19 05:43:17
wake up,2024-03-19 05:43:17
sleep,2024-03-19 05:43:17
sleep,2024-03-19 05:43:18
sleep,2024-03-19 05:43:18
sleep,2024-03-19 05:43:19
wake up,2024-03-19 05:43:19
sleep,2024-03-19 05:43:19
sleep,2024-03-19 05:43:19
sleep,2024-03-19 05:43:20
sleep,2024-03-19 05:43:20
sleep,2024-03-19 05:43:21
sleep,2024-03-19 05:43:21
wake up,2024-03-19 05:43:22
wake up,2024-03-19 05:43:22
wake up,2024-03-19 05:43:23
wake up,2024-03-19 05:43:23
sleep,2024-03-19 05:43:23
sleep,2024-03-19 05:43:24
sleep,2024-03-19 05:43:24
sleep,2024-03-19 05:43:25
sleep,2024-03-19 05:43:25
sleep,2024-03-19 05:43:26
sleep,2024-03-19 05:43:26
sleep,2024-03-19 05:43:27
sleep,2024-03-19 05:43:27
sleep,2024-03-19 05:43:27
sleep,2024-03-19 05:43:28
sleep,2024-03-19 05:43:28
wake up,2024-03-19 05:43:29
sleep,2024-03-19 05:43:29
sleep,2024-03-19 05:43:30
sleep,2024-03-19 05:43:30
wake up,2024-03-19 05:43:30
sleep,2024-03-19 05:43:31
sleep,2024-03-19 05:43:31
sleep,2024-03-19 05:43:32
wake up,2024-03-19 05:43:32
sleep,2024-03-19 05:43:32
wake up,2024-03-19 05:43:33
sleep,2024-03-19 05:43:33
sleep,2024-03-19 05:43:34
sleep,2024-03-19 05:43:34
wake up,2024-03-19 05:43:34
sleep,2024-03-19 05:43:34
sleep,2024-03-19 05:43:35
sleep,2024-03-19 05:43:35
sleep,2024-03-19 05:43:36
sleep,2024-03-19 05:43:36
